branch_id,branch_name,month,review_count,average_rating,average_sentiment_score,negative_ratio,is_zero_volume,is_observed,anomaly_score,is_anomaly,alert_reasons,alert_severity
jubilee_hills,Jubilee Hills,2023-01,397,3.9043,0.039526,0.0327,False,True,0.052692,False,[],low
banjara_hills,Banjara Hills,2022-07,31,4.1935,0.01991,0.0323,False,True,0.053012,False,[],low
jubilee_hills,Jubilee Hills,2022-03,414,3.9227,0.050287,0.0242,False,True,0.053019,False,[],low
jubilee_hills,Jubilee Hills,2019-06,434,4.2857,0.058662,0.0023,False,True,0.053294,False,[],low
jubilee_hills,Jubilee Hills,2019-07,425,4.3388,0.065348,0.0094,False,True,0.053605,False,[],low
jubilee_hills,Jubilee Hills,2025-06,77,3.6494,0.014086,0.0649,False,True,0.05363,False,[],low
gachibowli,Gachibowli,2025-07,40,3.55,0.025722,0.025,False,True,0.054858,False,[],low
jubilee_hills,Jubilee Hills,2022-05,443,4.0903,0.045022,0.0226,False,True,0.054871,False,[],low
jubilee_hills,Jubilee Hills,2021-08,498,4.2711,0.053627,0.0181,False,True,0.055916,False,[],low
banjara_hills,Banjara Hills,2026-02,50,3.66,0.061636,0.04,False,True,0.055923,False,[],low
jubilee_hills,Jubilee Hills,2018-05,146,4.226,0.08149,0.0,False,True,0.056822,False,[],low
banjara_hills,Banjara Hills,2021-12,188,4.367,0.04818,0.016,False,True,0.05689,False,[],low
jubilee_hills,Jubilee Hills,2023-05,269,3.9145,0.025712,0.026,False,True,0.056999,False,[],low
jubilee_hills,Jubilee Hills,2022-06,401,3.99,0.050478,0.01,False,True,0.057395,False,[],low
jubilee_hills,Jubilee Hills,2022-09,364,3.9643,0.039563,0.0357,False,True,0.057631,False,[],low
jubilee_hills,Jubilee Hills,2025-12,87,3.6092,0.034437,0.0575,False,True,0.058415,False,[],low
gachibowli,Gachibowli,2025-05,27,4.0,0.082148,0.037,False,True,0.058798,False,[],low
jubilee_hills,Jubilee Hills,2025-07,76,3.8421,0.022143,0.0658,False,True,0.059006,False,[],low
gachibowli,Gachibowli,2024-01,100,4.0,0.084575,0.03,False,True,0.059637,False,[],low
jubilee_hills,Jubilee Hills,2022-11,381,3.9186,0.040223,0.0315,False,True,0.059657,False,[],low
banjara_hills,Banjara Hills,2025-02,22,4.2273,0.041555,0.0455,False,True,0.060915,False,[],low
jubilee_hills,Jubilee Hills,2018-11,211,4.3697,0.064406,0.0047,False,True,0.061341,False,[],low
gachibowli,Gachibowli,2025-11,26,4.1923,0.072128,0.0385,False,True,0.061652,False,[],low
jubilee_hills,Jubilee Hills,2020-06,22,4.4091,0.064394,0.0,False,True,0.062329,False,[],low
jubilee_hills,Jubilee Hills,2022-02,351,3.9373,0.055719,0.0114,False,True,0.06237,False,[],low
jubilee_hills,Jubilee Hills,2024-06,126,3.746,0.040862,0.0476,False,True,0.062906,False,[],low
jubilee_hills,Jubilee Hills,2024-01,165,4.1879,0.033497,0.0303,False,True,0.063071,False,[],low
gachibowli,Gachibowli,2024-12,36,3.7778,0.055732,0.0556,False,True,0.065142,False,[],low
jubilee_hills,Jubilee Hills,2019-01,402,4.1915,0.074528,0.0124,False,True,0.065599,False,[],low
jubilee_hills,Jubilee Hills,2024-04,102,3.8039,0.013047,0.0196,False,True,0.066331,False,[],low
jubilee_hills,Jubilee Hills,2018-03,182,4.2857,0.080547,0.0165,False,True,0.066524,False,[],low
jubilee_hills,Jubilee Hills,2022-12,412,4.0049,0.043403,0.0218,False,True,0.066639,False,[],low
jubilee_hills,Jubilee Hills,2023-06,273,3.9927,0.028571,0.0256,False,True,0.068924,False,[],low
jubilee_hills,Jubilee Hills,2023-04,275,4.0364,0.03893,0.0109,False,True,0.069499,False,[],low
banjara_hills,Banjara Hills,2022-02,41,4.3659,0.058197,0.0244,False,True,0.070159,False,['review_volume_shift_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2020-11,378,4.2407,0.074527,0.0132,False,True,0.070552,False,[],low
gachibowli,Gachibowli,2025-12,44,3.5682,0.028018,0.0455,False,True,0.07108,False,['rating_drop_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2024-10,111,3.8378,0.014944,0.036,False,True,0.071124,False,[],low
banjara_hills,Banjara Hills,2024-05,87,3.7701,0.008217,0.046,False,True,0.07116,False,[],low
jubilee_hills,Jubilee Hills,2021-03,521,4.1881,0.054538,0.0134,False,True,0.072759,False,[],low
jubilee_hills,Jubilee Hills,2021-04,265,4.1094,0.072354,0.0151,False,True,0.072776,False,[],low
jubilee_hills,Jubilee Hills,2021-07,397,4.1083,0.057816,0.0176,False,True,0.073032,False,['review_volume_shift_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2024-03,107,3.7009,0.042445,0.0374,False,True,0.07309,False,[],low
jubilee_hills,Jubilee Hills,2023-02,266,4.0677,0.051748,0.0338,False,True,0.074071,False,[],low
gachibowli,Gachibowli,2023-08,106,4.1132,0.026085,0.0094,False,True,0.074237,False,['review_volume_shift_vs_previous_month'],medium
banjara_hills,Banjara Hills,2026-07,37,3.9189,0.01924,0.0,False,True,0.074301,False,[],low
jubilee_hills,Jubilee Hills,2025-08,86,3.8488,0.017715,0.0581,False,True,0.074701,False,[],low
jubilee_hills,Jubilee Hills,2018-02,136,4.3088,0.076257,0.0147,False,True,0.074917,False,[],low
jubilee_hills,Jubilee Hills,2018-10,234,4.265,0.073745,0.0043,False,True,0.075274,False,[],low
banjara_hills,Banjara Hills,2022-10,32,4.125,0.017759,0.0312,False,True,0.076411,False,[],low
gachibowli,Gachibowli,2024-04,63,3.746,0.033463,0.0635,False,True,0.076438,False,[],low
jubilee_hills,Jubilee Hills,2023-07,289,3.9066,0.05103,0.0242,False,True,0.077591,False,[],low
gachibowli,Gachibowli,2025-03,32,3.8125,0.014554,0.0312,False,True,0.078139,False,[],low
jubilee_hills,Jubilee Hills,2023-08,259,3.9537,0.042874,0.0347,False,True,0.078258,False,[],low
gachibowli,Gachibowli,2026-01,32,3.9062,0.009934,0.0312,False,True,0.078617,False,[],low
jubilee_hills,Jubilee Hills,2019-04,406,4.2438,0.065608,0.0123,False,True,0.078692,False,[],low
jubilee_hills,Jubilee Hills,2026-03,56,3.7143,0.014257,0.0536,False,True,0.078812,False,[],low
gachibowli,Gachibowli,2024-09,46,3.8696,0.077678,0.0217,False,True,0.078834,False,[],low
jubilee_hills,Jubilee Hills,2020-08,98,4.3367,0.076833,0.0102,False,True,0.079538,False,['review_volume_shift_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2018-09,213,4.2911,0.075099,0.0141,False,True,0.079722,False,[],low
jubilee_hills,Jubilee Hills,2021-11,355,4.2225,0.046547,0.0169,False,True,0.079773,False,[],low
jubilee_hills,Jubilee Hills,2022-04,348,4.0345,0.04604,0.0172,False,True,0.080687,False,[],low
jubilee_hills,Jubilee Hills,2019-02,325,4.2462,0.067231,0.0062,False,True,0.081554,False,[],low
jubilee_hills,Jubilee Hills,2023-11,195,4.1385,0.042692,0.0103,False,True,0.081655,False,[],low
jubilee_hills,Jubilee Hills,2022-08,374,4.0909,0.055082,0.016,False,True,0.081667,False,[],low
gachibowli,Gachibowli,2024-11,36,4.1111,0.038766,0.0556,False,True,0.081818,False,[],low
gachibowli,Gachibowli,2025-10,41,4.1707,0.020997,0.0244,False,True,0.082432,False,[],low
jubilee_hills,Jubilee Hills,2021-06,23,4.1739,0.084896,0.0,False,True,0.083488,False,[],low
banjara_hills,Banjara Hills,2023-07,52,4.0962,0.048296,0.0577,False,True,0.083747,False,[],low
jubilee_hills,Jubilee Hills,2026-02,64,3.6875,0.017328,0.0469,False,True,0.084389,False,[],low
jubilee_hills,Jubilee Hills,2026-05,59,3.7119,0.035494,0.0169,False,True,0.084792,False,[],low
jubilee_hills,Jubilee Hills,2023-03,272,3.9522,0.038618,0.0184,False,True,0.085031,False,[],low
jubilee_hills,Jubilee Hills,2019-05,420,4.2881,0.058977,0.0071,False,True,0.085208,False,[],low
banjara_hills,Banjara Hills,2023-06,50,3.76,0.023233,0.06,False,True,0.085282,False,[],low
jubilee_hills,Jubilee Hills,2025-02,53,4.2264,0.035426,0.0189,False,True,0.085564,False,[],low
jubilee_hills,Jubilee Hills,2024-02,117,3.8889,0.039466,0.0513,False,True,0.08577,False,[],low
jubilee_hills,Jubilee Hills,2024-11,91,4.1429,0.052995,0.044,False,True,0.086082,False,[],low
jubilee_hills,Jubilee Hills,2018-08,187,4.3209,0.067436,0.0107,False,True,0.086364,False,[],low
